fn,total ops,total mult,dram total,dram limb rd,dram limb wr,dram key rd,"total cycles (slow, worst case)","total cycles (slow, best case)",funits,logq,dnum,cache_size
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,1133041760.8,1133041760.8,10,45,2,16957440
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,1030042702.1818182,1030042702.1818182,11,45,2,16957440
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,944210153.3333335,944210153.3333335,12,45,2,16957440
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,871582612.0,871582612.0,13,45,2,16957440
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,809330433.7142856,809330433.7142856,14,45,2,16957440
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,755378545.8666668,755378545.8666668,15,45,2,16957440
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,1429487262.3999999,1429487262.3999999,10,45,3,12533760
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,1299539651.6363637,1299539651.6363637,11,45,3,12533760
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,1191249976.0,1191249976.0,12,45,3,12533760
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,1099620250.4615383,1099620250.4615383,13,45,3,12533760
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,1021080485.7142859,1021080485.7142859,14,45,3,12533760
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,953012689.5999999,953012689.5999999,15,45,3,12533760
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1654067624.7999997,1654067624.7999997,10,45,4,10321920
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1503704656.3636365,1503704656.3636365,11,45,4,10321920
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1378402182.6666667,1378402182.6666667,12,45,4,10321920
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1272377012.6153846,1272377012.6153846,13,45,4,10321920
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1181498295.4285715,1181498295.4285715,14,45,4,10321920
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1102736740.5333333,1102736740.5333333,15,45,4,10321920
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1853292108.8000002,1853292108.8000002,10,45,5,8847360
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1684818862.5454545,1684818862.5454545,11,45,5,8847360
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1544424490.6666665,1544424490.6666665,12,45,5,8847360
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1425629252.923077,1425629252.923077,13,45,5,8847360
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1323804763.4285712,1323804763.4285712,14,45,5,8847360
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1235556872.5333333,1235556872.5333333,15,45,5,8847360
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,2095704816.7999997,2095704816.7999997,10,45,6,7372800
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,1905195090.5454545,1905195090.5454545,11,45,6,7372800
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,1746436985.3333335,1746436985.3333335,12,45,6,7372800
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,1612103203.9999998,1612103203.9999998,13,45,6,7372800
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,1496959962.857143,1496959962.857143,14,45,6,7372800
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,1397169153.8666666,1397169153.8666666,15,45,6,7372800
bootstrap,89844482048,40981757952,35782459392.0,15388311552.0,7263813632.0,13130334208.0,1093970836.0,1093970836.0,10,46,2,16580608
bootstrap,89844482048,40981757952,35782459392.0,15388311552.0,7263813632.0,13130334208.0,994523679.6363636,994523679.6363636,11,46,2,16580608
bootstrap,89844482048,40981757952,35782459392.0,15388311552.0,7263813632.0,13130334208.0,911651049.3333333,911651049.3333333,12,46,2,16580608
bootstrap,89844482048,40981757952,35782459392.0,15388311552.0,7263813632.0,13130334208.0,841528054.4615386,841528054.4615386,13,46,2,16580608
bootstrap,89844482048,40981757952,35782459392.0,15388311552.0,7263813632.0,13130334208.0,781422630.2857143,781422630.2857143,14,46,2,16580608
bootstrap,89844482048,40981757952,35782459392.0,15388311552.0,7263813632.0,13130334208.0,729331262.6666665,729331262.6666665,15,46,2,16580608
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,1342440708.8,1342440708.8,10,46,3,12812288
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,1220406421.0909092,1220406421.0909092,11,46,3,12812288
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,1118711181.3333333,1118711181.3333333,12,46,3,12812288
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,1032661363.0769231,1032661363.0769231,13,46,3,12812288
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,958904376.0,958904376.0,14,46,3,12812288
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,894981653.8666668,894981653.8666668,15,46,3,12812288
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1604039080.8000002,1604039080.8000002,10,46,4,10551296
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1458224161.8181818,1458224161.8181818,11,46,4,10551296
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1336711729.3333335,1336711729.3333335,12,46,4,10551296
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1233893517.2307694,1233893517.2307694,13,46,4,10551296
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1145763621.142857,1145763621.142857,14,46,4,10551296
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1069384377.8666668,1069384377.8666668,15,46,4,10551296
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1811232742.3999999,1811232742.3999999,10,46,5,8290304
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1646583074.9090908,1646583074.9090908,11,46,5,8290304
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1509375018.6666667,1509375018.6666667,12,46,5,8290304
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1393275894.153846,1393275894.153846,13,46,5,8290304
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1293762358.857143,1293762358.857143,14,46,5,8290304
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1207517294.9333334,1207517294.9333334,15,46,5,8290304
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1983143460.0000002,1983143460.0000002,10,46,6,7536640
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1802866584.3636363,1802866584.3636363,11,46,6,7536640
