fn,total ops,total mult,dram total,dram limb rd,dram limb wr,dram key rd,"total cycles (slow, worst case)","total cycles (slow, best case)",funits,logq,dnum,cache_size,ewe_energy,dram_energy,sram_area,ewe_area,total_energy,total_area
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,1133041760.8,1133041760.8,10,45,2,16957440,0.8774060436604886,18.44327743488,501766,145152,19.320683478540488,646918
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,1030042702.1818182,1030042702.1818182,11,45,2,16957440,0.8774060436604886,18.44327743488,501766,159668,19.320683478540488,661434
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,944210153.3333336,944210153.3333336,12,45,2,16957440,0.8774060436604886,18.44327743488,501766,174183,19.320683478540488,675949
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,871582612.0,871582612.0,13,45,2,16957440,0.8774060436604886,18.44327743488,501766,188698,19.320683478540488,690464
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,809330433.7142856,809330433.7142856,14,45,2,16957440,0.8774060436604886,18.44327743488,501766,203213,19.320683478540488,704979
bootstrap,93032022016,42467590144,36022026240.0,15485829120.0,7318241280.0,13217955840.0,755378545.8666668,755378545.8666668,15,45,2,16957440,0.8774060436604886,18.44327743488,501766,217728,19.320683478540488,719494
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,1429487262.4,1429487262.4,10,45,3,12533760,1.0972100466473738,25.85675169792,370844,145152,26.953961744567376,515996
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,1299539651.6363635,1299539651.6363635,11,45,3,12533760,1.0972100466473738,25.85675169792,370844,159668,26.953961744567376,530512
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,1191249976.0,1191249976.0,12,45,3,12533760,1.0972100466473738,25.85675169792,370844,174183,26.953961744567376,545027
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,1099620250.4615383,1099620250.4615383,13,45,3,12533760,1.0972100466473738,25.85675169792,370844,188698,26.953961744567376,559542
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,1021080485.714286,1021080485.714286,14,45,3,12533760,1.0972100466473738,25.85675169792,370844,203213,26.953961744567376,574057
bootstrap,117352038400,53091237888,50501468160.0,19651461120.0,10085253120.0,20764753920.0,953012689.6,953012689.6,15,45,3,12533760,1.0972100466473738,25.85675169792,370844,217728,26.953961744567376,588572
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1654067624.7999997,1654067624.7999997,10,45,4,10321920,1.2599170089793656,32.31140806656,305398,145152,33.57132507553937,450550
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1503704656.3636365,1503704656.3636365,11,45,4,10321920,1.2599170089793656,32.31140806656,305398,159668,33.57132507553937,465066
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1378402182.6666667,1378402182.6666667,12,45,4,10321920,1.2599170089793656,32.31140806656,305398,174183,33.57132507553937,479581
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1272377012.6153846,1272377012.6153846,13,45,4,10321920,1.2599170089793656,32.31140806656,305398,188698,33.57132507553937,494096
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1181498295.4285717,1181498295.4285717,14,45,4,10321920,1.2599170089793656,32.31140806656,305398,203213,33.57132507553937,508611
bootstrap,135790198784,60948742144,63108218880.0,22712647680.0,12432015360.0,27963555840.0,1102736740.5333333,1102736740.5333333,15,45,4,10321920,1.2599170089793656,32.31140806656,305398,217728,33.57132507553937,523126
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1853292108.8,1853292108.8,10,45,5,8847360,1.402084057050255,38.49540599808,261788,145152,39.897490055130255,406940
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1684818862.5454545,1684818862.5454545,11,45,5,8847360,1.402084057050255,38.49540599808,261788,159668,39.897490055130255,421456
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1544424490.6666665,1544424490.6666665,12,45,5,8847360,1.402084057050255,38.49540599808,261788,174183,39.897490055130255,435971
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1425629252.923077,1425629252.923077,13,45,5,8847360,1.402084057050255,38.49540599808,261788,188698,39.897490055130255,450486
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1323804763.4285712,1323804763.4285712,14,45,5,8847360,1.402084057050255,38.49540599808,261788,203213,39.897490055130255,465001
bootstrap,152148508672,67810623488,75186339840.0,25409617920.0,14674821120.0,35101900800.0,1235556872.5333333,1235556872.5333333,15,45,5,8847360,1.402084057050255,38.49540599808,261788,217728,39.897490055130255,479516
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,2095704816.7999997,2095704816.7999997,10,45,6,7372800,1.5780173782020297,45.15277307904,202566,145152,46.73079045724203,347718
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,1905195090.5454545,1905195090.5454545,11,45,6,7372800,1.5780173782020297,45.15277307904,202566,159668,46.73079045724203,362234
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,1746436985.3333335,1746436985.3333335,12,45,6,7372800,1.5780173782020297,45.15277307904,202566,174183,46.73079045724203,376749
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,1612103203.9999998,1612103203.9999998,13,45,6,7372800,1.5780173782020297,45.15277307904,202566,188698,46.73079045724203,391264
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,1496959962.857143,1496959962.857143,14,45,6,7372800,1.5780173782020297,45.15277307904,202566,203213,46.73079045724203,405779
bootstrap,172025315328,76307759104,88189009920.0,28301230080.0,17062133760.0,42825646080.0,1397169153.8666666,1397169153.8666666,15,45,6,7372800,1.5780173782020297,45.15277307904,202566,217728,46.73079045724203,420294
bootstrap,89844482048,40981757952,35782459392.0,15388311552.0,7263813632.0,13130334208.0,1093970836.0,1093970836.0,10,46,2,16580608,0.8467280041751386,18.320619208704,490588,145152,19.167347212879136,635740
bootstrap,89844482048,40981757952,35782459392.0,15388311552.0,7263813632.0,13130334208.0,994523679.6363636,994523679.6363636,11,46,2,16580608,0.8467280041751386,18.320619208704,490588,159668,19.167347212879136,650256
