Complexity,Loss,Equation
1,9.5324985e17,"9.7283117e8"
3,1.3342944e9,"9.640505e9 / x0"
5,1.4538752e6,"(9.640251e9 / x0) - -51509.9"
7,1.4426112e6,"(x0 + (9.640251e9 / x0)) - -51509.9"
9,1.1492694e6,"((-411.2643 - x0) * -118.60121) + (9.64026e9 / x0)"
11,1.1173205e6,"((9.640255e9 / x0) - 203.47357) - ((x0 - -604.4471) * -82.61292)"
13,1.0996054e6,"(((-392.18362 - x0) * -124.25871) + (9.64026e9 / x0)) - (x0 - -124.116325)"
15,785510.4,"((9.640255e9 / x0) - (42.34379 / (x0 + -3.9746897))) - ((x0 - -604.447) * -82.41381)"
17,579379.2,"((9.640255e9 / x0) - ((x0 * 42.34379) / (x0 + -3.9511552))) - ((x0 - -604.4471) * -82.61292)"
19,425062.4,"((9.640255e9 / x0) + ((x0 * -141.13812) / ((x0 * 0.45794487) + -1.7108079))) - ((x0 - -588.58276) * -85.48121)"
21,378743.47,"((9.640255e9 / x0) - (x0 * ((139.54414 / ((x0 * 0.48816204) + -1.8391068)) + x0))) - ((x0 - -594.0951) * -85.139404)"
23,370073.6,"(((9.640255e9 / x0) - ((x0 + (139.54414 / ((x0 * 0.48816204) + -1.8391068))) * x0)) - ((x0 - -594.0951) * -85.13939)) + 33.6037"
25,356625.06,"(((9.640255e9 / x0) - (x0 * ((x0 / 1.2140039) + (139.54414 / ((x0 * 0.48925155) + -1.8388962))))) - ((x0 - -594.0951) * -85.13939)) + -87.25415"
27,352392.53,"((((9.640255e9 / x0) - (x0 * ((139.54414 / ((x0 * 0.48925155) + -1.8388962)) + (x0 / 1.2140039)))) - ((x0 - -594.0951) * -85.13939)) + -172.39354) + x0"
