Complexity,Loss,Equation
1,9.8996565e16,"1.2206012e9"
3,6.459939e16,"x2 * 2.9099453e8"
5,3.4935103e16,"(x2 / x0) * 3.5687575e9"
7,2.6829024e16,"(x2 * (x3 * 375.16757)) / x0"
9,5.974064e15,"(x2 * ((x3 + 8.0929185e6) * 205.90248)) / x0"
11,1.3135646e15,"(x2 / x0) * ((x3 + 7.982049e6) * (9839.035 / x1))"
13,4.972652e14,"x2 * ((((x3 + 7.916211e6) / x0) * 6067.802) / (x1 - 18.232975))"
15,4.8331156e14,"(x2 + 0.37533903) * ((((x3 + 1.190753e7) / x0) * 4664.782) / (x1 - 17.392242))"
17,4.637831e14,"(((370506.03 / x1) - 2846.2373) * ((x2 * ((438987.44 * x1) / x1)) + 1.2595422e6)) / x0"
19,3.4455976e14,"(12491.741 - (x1 * 148.6447)) * ((((x2 * (x3 - (x1 * -346006.97))) / x1) + 522091.62) / x0)"
21,3.2678457e14,"(((x2 * ((x3 - (x1 * -366209.25)) / x1)) + 583376.3) / x0) * ((321650.8 - (x1 * 1615.7355)) / x1)"
23,3.2643235e14,"(((((x2 * (x3 - (x1 * -378444.4))) / x1) + 616090.56) / x0) / x1) * ((301257.06 - (x1 * 1610.8147)) + 13406.486)"
25,3.2639946e14,"((((316423.56 - (x1 * 1627.0015)) * (((((x3 - (x1 * -376798.2)) * x2) / x1) + 610972.3) / x0)) / x1) + x3) - x3"
27,2.5553988e14,"((((201362.95 - (x1 * 841.71704)) + ((x1 / x2) * -1362.4025)) / x1) * ((x2 * ((x3 - (x1 * -493776.62)) / x1)) + 2.123296e6)) / x0"
29,2.391229e14,"(((((199608.88 - (x1 * 968.6825)) + ((x1 / x2) * -1147.598)) / x1) * (((x2 * (x3 - (x1 * -541417.4))) / x1) + 2.0957482e6)) / x0) + 0.1745566"
